blind_id,repository,issue_number,gold_primary_failure,title,comment_count,explicit_pull_urls,same_repo_fix_ref_urls,has_local_diff_or_patch_snippet,local_diff_or_patch_snippet,fix_or_root_cause_snippet,evidence_tier
GNF-0071-ca4885e3,numba/numba,4954,dtype_casting,Running only CUDA tests results in strange crashes / failures,20,https://github.com/numba/numba/pull/4581,https://github.com/numba/numba/pull/5024,true,"diff --git a/numba/cuda/cudadrv/devicearray.py b/numba/cuda/cudadrv/devicearray.py index 50ba74a..35054dc 100644 --- a/numba/cuda/cudadrv/devicearray.py +++ b/numba/cuda/cudadrv/devicearray.py @@ -379,7 +379,7 @@ class DeviceRecord(DeviceNDArrayBase): return numpy_support.from_dtype(self.dtype) -@lru_cache +#@lru_cache def _assign_kernel(ndim): """""" A separate method so we do...","ert <sseibert@anaconda.com> Date: Fri Jan 3 11:38:08 2020 -0600 Merge pull request #5024 from stuartarchibald/fix/5015 Propagate semantic constants ahead of static rewrites. ``` This exact commit was working earlier today - I switched branches a couple of times, did `git clean -fdx`, `python setup.py build_ext --inplace`, and this is still occurring. Valg",linked_pr_and_local_patch
GNF-0098-a1e24269,numba/numba,2451,overflow_underflow,test case failure ( segmentation fault ) in ppc64le,135,https://github.com/numba/llvmlite/pull/318|https://github.com/numba/llvmlite/pull/330|https://github.com/numba/numba/pull/2627|https://github.com/numba/numba/pull/2780|https://github.com/numba/numba/pull/2852,,true,"--- a/lib/MC/MCObjectFileInfo.cpp +++ b/lib/MC/MCObjectFileInfo.cpp @@ -289,6 +289,8 @@ void MCObjectFileInfo::initELFMCObjectFileInfo(Triple T) { case Triple::mips64el: FDECFIEncoding = dwarf::DW_EH_PE_sdata8; break; + case Triple::ppc64: + case Triple::ppc64le: case Triple::x86_64: FDECFIEncoding = dwarf::DW_EH_PE_pcrel | (Large ? dwarf::DW_EH_PE_sdata8 : dwarf::DW_EH_PE_s...","tests.npyufunc.test_parallel_ufunc_issues.TestParGUfuncIssues) ... Segmentation fault ``` Any pointers/inputs to resolve the test case failure and if change done in ""requirements.txt"" is correct ? Coincidentally, the Numba team also tried building Numba on ppc64le a few weeks ago and saw similar failures, but we don't understand the root cause. We conjectured it had to do wi",linked_pr_and_local_patch
GNF-0020-322072f7,cupy/cupy,8260,dtype_casting,Runtime compilation failed - CUDA synchronization primitives are only supported for sm_70 and up,12,https://github.com/cupy/cupy/pull/8200,,false,,h59595ed_0 conda-forge pkg-config 0.29.2 h36c2ea0_1008 conda-forge pkgutil-resolve-name 1.3.10 pyhd8ed1ab_1 conda-forge platformdirs 4.2.0 pyhd8ed1ab_0 conda-forge pluggy 1.4.0 pyhd8ed1ab_0 conda-forge ply 3.11,linked_pr
GNF-0039-1a4af8a4,cupy/cupy,9777,dtype_casting,CuPy v14.0.0+ is buggy in a conda env,5,https://github.com/cupy/cupy/pull/9781,https://github.com/cupy/cupy/pull/9779,false,,works well. Have submitted this change as a PR: https://github.com/cupy/cupy/pull/9781 Should add have confirmed this fixes the issue with unactivated Conda environments <hr> Longer term - Think it would be worth looking at this logic and streamlining it more around using `sys.prefix` regardless of environments. That would likely help make this easier to test and maintain in...,linked_pr
GNF-0157-7be66b56,cupy/cupy,9272,dtype_casting,lsmr with complex linear operator,2,https://github.com/cupy/cupy/pull/9273,,false,,"hon 3.11.13 ``` ### Additional Information _No response_ @rachelglenn Thank you for reporting this issue! It will be fixed in https://github.com/cupy/cupy/pull/9273. Thank you for doing that. It runs now, the only concern is that it is casting it as a real number and dropping the complex part: /usr/local/lib64/python3.11/site-packages/cupyx/scipy/sparse/linalg/_solve.py:394:...",linked_pr
GNF-0187-2664d182,cupy/cupy,2742,overflow_underflow,Discussion on multi-GPU support for cuFFT and cuSOLVER,11,https://github.com/cupy/cupy/pull/2644,,false,,,linked_pr
GNF-0042-938c1ba1,jax-ml/jax,36766,overflow_underflow,`jnp.searchsorted` fails with symbolic shapes on the sorted dimension during `jax.export`,2,https://github.com/jax-ml/jax/pull/34332,,false,,"ed array has a symbolic shape and is traced via `jax.export`. The values array having a symbolic shape works fine. The root cause is an eager overflow check in `SearchSorted.__init__`. ```python out_dtype.type(sorted_arr_aval.shape[dimension]) ``` This converts the sorted dimension size to a concrete int, which fails when symbolic. ## Reproduction ```python import jax import...",linked_pr
GNF-0060-3368e422,jax-ml/jax,34455,overflow_underflow,integer overflow in `jnp.clip` with unsigned ints,4,https://github.com/data-apis/array-api-tests/pull/410,,false,,"ta-apis/array-api-tests/pull/410 lands; - a request to document this. This is an edge case of course, and the suggested workaround makes total sense; This hits users very rarely, but when it does, it's well in the ""gnashing of teeth"" territory of https://docs.jax.dev/en/latest/notebooks/Common_Gotchas_in_JAX.html#fin . I just experienced this in the context of comparisons[^1...",linked_pr
GNF-0086-61dd6010,jax-ml/jax,10255,nan_inf,jax.scipy.sparse.linalg.cg inconsistent results between runs,19,https://github.com/google/jax/pull/12138,,false,,"atol=atol)` Have you tried using float64? The nondeterministic behavior may come from multithreading. Was this issue resolved? @Dinple I reran the colab repro. On Colab GPU, I get values which are fairly consistently large and similar (with some occasional `nan`, `inf`) ``` [0.0000000e+00 9.8054398e+10 1.9872968e+11 6.2595138e+10 2.0462353e+11 2.4414941e+10 1.1615307e+11 7",linked_pr
GNF-0103-f835a9bf,jax-ml/jax,4493,precision_tolerance,Building on linux with ppc64le CPU,76,https://github.com/pytorch/pytorch/pull/50640,,false,,"t you appear to be reading header files outside what it considers to be the standard system paths. I think your best fix here might be to write a small custom Bazel toolchain. As it happens, I show an example of how to do that in a comment in #7365. It's not that bad, you should be able to just modify my example. You would need to modify `cxx_builtin_include_directories` to inc",linked_pr
GNF-0123-b044c5aa,jax-ml/jax,24680,dtype_casting,DLPack Support for np.uint16 seems broken,3,https://github.com/openxla/xla/pull/22048,,false,,,linked_pr
GNF-0043-75ac4cd1,numba/numba,10325,nan_inf,test failures related to tolerance (corruption / refcounting),6,https://github.com/OpenMathLib/OpenBLAS/pull/5423,https://github.com/numba/numba/pull/10323|https://github.com/numba/numba/pull/10324,false,,-Construct <esc@users.noreply.github.com> Date: Thu Nov 6 18:19:04 2025 +0100 Merge pull request #10323 from esc/fix/editable_installs fix editable installs ``` conda environment: ``` esc@artemis [numba_3.14] [numba:main:★★★] ~/git/numba conda list # packages in environment at /Users/esc/miniconda3/envs/numba_3.14: # # Name Version,linked_pr
GNF-0070-0db7eac0,numba/numba,5820,nan_inf,Add back support for atomics that always return the non-NaN values,14,https://github.com/holoviz/datashader/pull/940,,false,,"d on numba of 0.49. Thanks again! Since this seems to be blocking quite a few things downstream I'd like to get this fixed by 0.51.0RC1, hence I updated the Milestone. I'm looking at this now. @gmarkall I've done most of the patch, I can push up if you want to continue on that? https://github.com/stuartarchibald/numba/commit/8b308bdaab5c05b6b85f84fe776dda0546c268eb @jonmmeas...",linked_pr
GNF-0121-d1cf86e9,numba/numba,5998,precision_tolerance,numba installation on nvidia Jetson,9,https://github.com/numba/numba/pull/5821,,false,,,linked_pr
GNF-0125-29346792,numba/numba,8464,dtype_casting,NumPy 1.24 support,25,https://github.com/numba/numba/pull/8691|https://github.com/numpy/numpy/pull/22422|https://github.com/numpy/numpy/pull/22540|https://github.com/numpy/numpy/pull/22638,,false,,"I didn't do my leak checking marathon yet. The refcounting error pops up when a test fails, once the actual issues are resolved these generally disappear. (In fact they're already gone in my local branch) Note: I edited the description to make a checklist of items to address. See also #8620. numpy 1.24.1 is released now. I look forward for the support in a new release of num...",linked_pr
